,Unnamed: 0,MPO,SURVEY,SAMPN,DAY,CTFIP,HHVEH,HHSIZ,INCOM,HHWRK,WGTHH,Weight2,IncomeBracket,Autos,Workers,HouseholdSize
10652,10652,2,2,5002750,1,18089,1,1,3,1,,14.922025,35k-60k,1,1,1
10653,10653,2,1,5002752,2,18091,2,5,3,2,,223.10449,35k-60k,2,2,4+
10654,10654,2,1,5002758,5,18089,2,2,2,0,,53.7397,0-35k,2,0,2
10655,10655,2,2,5002767,1,18089,2,4,7,2,,36.45082,100k+,2,2,4+
10656,10656,2,2,5002804,4,18089,2,2,4,1,,17.836705,35k-60k,2,1,2
10657,10657,2,1,5002821,2,18089,3,3,7,3,,69.75131999999999,100k+,3,3+,3
10658,10658,2,1,5002822,1,18089,2,2,5,2,,25.12893,60k-100k,2,2,2
10659,10659,2,2,5002829,3,18089,2,4,9,2,,45.51971,0-35k,2,2,4+
10660,10660,2,2,5002839,1,18089,4,4,6,1,,34.143375,60k-100k,4+,1,4+
10661,10661,2,1,5002842,3,18089,3,2,6,2,,30.00805,60k-100k,3,2,2
10662,10662,2,1,5002860,5,18089,3,3,7,3,,69.75131999999999,100k+,3,3+,3
10663,10663,2,1,5002863,1,18089,2,2,2,0,,53.7397,0-35k,2,0,2
10664,10664,2,2,5002870,1,18089,2,4,6,1,,34.143375,60k-100k,2,1,4+
10665,10665,2,2,5002875,4,18091,2,5,4,2,,111.552245,35k-60k,2,2,4+
10666,10666,2,2,5002876,7,18127,2,1,4,1,,17.819375,35k-60k,2,1,1
10667,10667,2,1,5002877,1,18089,2,3,5,1,,65.33595,60k-100k,2,1,3
10668,10668,2,1,5002893,1,18089,2,2,9,2,,24.02957,0-35k,2,2,2
10669,10669,2,1,5002897,5,18089,2,4,6,2,,68.28675,60k-100k,2,2,4+
10670,10670,2,2,5002923,4,18127,3,4,6,2,,45.51971,60k-100k,3,2,4+
10671,10671,2,1,5002925,3,18127,3,4,6,2,,91.03942,60k-100k,3,2,4+
10672,10672,2,1,5003014,1,18089,1,1,6,1,,18.83039,60k-100k,1,1,1
10673,10673,2,1,5003023,2,18127,1,1,1,0,,62.99679,0-35k,1,0,1
10674,10674,2,2,5003031,4,18091,2,2,3,1,,21.299995000000006,35k-60k,2,1,2
10675,10675,2,1,5003045,3,18127,2,2,5,2,,30.00805,60k-100k,2,2,2
10676,10676,2,1,5003064,3,18091,4,3,6,2,,87.10535,60k-100k,4+,2,3
10677,10677,2,1,5003098,4,18089,1,2,4,1,,40.81671,35k-60k,1,1,2
10678,10678,2,2,5003114,1,18089,2,2,9,0,,5.3857800000000005,0-35k,2,0,2
10679,10679,2,1,5003127,2,18089,3,2,7,1,,15.09339,100k+,3,1,2
10680,10680,2,2,5003151,1,18089,1,4,1,1,,136.405195,0-35k,1,1,4+
10681,10681,2,2,5003177,5,18089,2,2,2,0,,43.079305,0-35k,2,0,2
10682,10682,2,1,5003186,1,18127,2,2,6,1,,18.84869,60k-100k,2,1,2
10683,10683,2,1,5003203,1,18091,1,1,2,1,,75.22856999999998,0-35k,1,1,1
10684,10684,2,1,5003236,1,18091,2,2,5,0,,13.45144,60k-100k,2,0,2
10685,10685,2,1,5003254,5,18127,4,4,6,2,,68.28675,60k-100k,4+,2,4+
10686,10686,2,2,5003276,1,18089,2,2,7,2,,12.014785,100k+,2,2,2
10687,10687,2,2,5003288,7,18089,1,1,6,1,,9.415195,60k-100k,1,1,1
10688,10688,2,1,5003319,4,18089,3,4,6,2,,91.03942,60k-100k,3,2,4+
10689,10689,2,2,5003335,1,18089,2,4,6,1,,34.143375,60k-100k,2,1,4+
10690,10690,2,2,5003343,4,18089,2,1,6,1,,151.377715,60k-100k,2,1,1
10691,10691,2,1,5003354,1,18089,3,3,7,2,,52.31889,100k+,3,2,3
10692,10692,2,1,5003364,2,18127,2,2,6,1,,18.84869,60k-100k,2,1,2
10693,10693,2,2,5003383,5,18089,1,2,6,0,,6.72572,60k-100k,1,0,2
10694,10694,2,1,5003396,2,18127,3,2,6,2,,25.12893,60k-100k,3,2,2
10695,10695,2,2,5003398,1,18091,3,3,6,2,,43.552675,60k-100k,3,2,3
10696,10696,2,2,5003402,4,18089,2,4,4,2,,64.62048,35k-60k,2,2,4+
10697,10697,2,1,5003437,1,18127,3,1,3,1,,35.63875,35k-60k,3,1,1
10698,10698,2,2,5003459,2,18127,1,2,3,0,,12.729275,35k-60k,1,0,2
10699,10699,2,1,5003466,5,18127,2,2,7,1,,15.09339,100k+,2,1,2
10700,10700,2,1,5003470,3,18127,3,3,7,2,,69.75131999999999,100k+,3,2,3
10701,10701,2,1,5003478,2,18091,1,1,9,1,,75.22856999999998,0-35k,1,1,1
10702,10702,2,2,5003491,3,18127,4,4,9,3,,36.45082,0-35k,4+,3+,4+
10703,10703,2,1,5003504,5,18127,2,1,7,1,,15.078829999999998,100k+,2,1,1
10704,10704,2,2,5003512,7,18089,2,2,7,2,,12.014785,100k+,2,2,2
10705,10705,2,1,5003558,1,18089,1,1,1,1,,62.99679,0-35k,1,1,1
10706,10706,2,2,5003560,1,18089,0,1,9,0,,17.819375,0-35k,0,0,1
10707,10707,2,1,5003566,3,18091,1,1,1,1,,62.99679,0-35k,1,1,1
10708,10708,2,2,5003579,5,18091,2,2,4,2,,12.729275,35k-60k,2,2,2
10709,10709,2,1,5003611,1,18089,0,1,1,1,,75.22856999999998,0-35k,0,1,1
10710,10710,2,1,5003621,5,18089,2,2,5,1,,22.50851,60k-100k,2,1,2
10711,10711,2,1,5003622,4,18091,4,1,4,1,,35.63875,35k-60k,4+,1,1
10712,10712,2,1,5003636,3,18091,3,1,3,1,,29.84405,35k-60k,3,1,1
10713,10713,2,2,5003655,2,18127,3,3,6,2,,32.667975,60k-100k,3,2,3
10714,10714,2,2,5003668,1,18091,1,1,5,1,,7.884305,60k-100k,1,1,1
10715,10715,2,2,5003672,2,18127,3,2,6,0,,10.78312,60k-100k,3,0,2
10716,10716,2,2,5003680,3,18091,2,2,3,1,,21.299995000000006,35k-60k,2,1,2
10717,10717,2,1,5003743,4,18127,2,1,9,1,,35.63875,0-35k,2,1,1
10718,10718,2,1,5003744,5,18089,1,2,3,1,,42.59999000000001,35k-60k,1,1,2
10719,10719,2,1,5003747,1,18089,3,3,6,2,,87.10535,60k-100k,3,2,3
10720,10720,2,2,5003748,7,18089,2,5,3,2,,111.552245,35k-60k,2,2,4+
10721,10721,2,1,5003750,2,18089,5,3,2,2,,291.41041,0-35k,4+,2,3
10722,10722,2,1,5003767,2,18127,3,4,5,3,,91.03942,60k-100k,3,3+,4+
10723,10723,2,2,5003777,7,18127,1,1,2,1,,31.498395,0-35k,1,1,1
10724,10724,2,2,5003787,1,18091,2,2,3,0,,12.729275,35k-60k,2,0,2
10725,10725,2,1,5003790,2,18089,1,1,1,0,,62.99679,0-35k,1,0,1
10726,10726,2,1,5003795,2,18091,2,2,4,2,,56.79405,35k-60k,2,2,2
10727,10727,2,1,5003805,5,18089,3,2,7,2,,24.02957,100k+,3,2,2
10728,10728,2,1,5003808,4,18127,2,2,4,2,,56.79405,35k-60k,2,2,2
10729,10729,2,2,5003832,1,18091,2,2,5,2,,15.004025,60k-100k,2,2,2
10730,10730,2,2,5003838,5,18127,3,3,7,2,,34.87566,100k+,3,2,3
10731,10731,2,2,5003857,4,18089,2,2,4,2,,28.397025,35k-60k,2,2,2
10732,10732,2,2,5003862,5,18127,2,3,9,0,,36.949625,0-35k,2,0,3
10733,10733,2,2,5003869,5,18091,6,4,6,2,,45.51971,60k-100k,4+,2,4+
10734,10734,2,1,5003887,2,18089,1,1,3,1,,35.63875,35k-60k,1,1,1
10735,10735,2,1,5003899,1,18089,3,2,6,0,,16.06329,60k-100k,3,0,2
10736,10736,2,1,5003941,1,18089,1,1,5,1,,18.83039,60k-100k,1,1,1
10737,10737,2,2,5003951,1,18091,1,1,9,1,,37.614285,0-35k,1,1,1
10738,10738,2,2,5003952,4,18089,0,2,1,0,,26.86985,0-35k,0,0,2
10739,10739,2,2,5003977,7,18089,2,3,1,1,,109.290285,0-35k,2,1,3
10740,10740,2,2,5003991,2,18091,2,2,9,0,,6.72572,0-35k,2,0,2
10741,10741,2,2,5004018,1,18091,2,2,7,2,,12.014785,100k+,2,2,2
10742,10742,2,1,5004030,4,18127,3,3,6,2,,65.33595,60k-100k,3,2,3
10743,10743,2,2,5004032,3,18089,2,2,6,0,,6.72572,60k-100k,2,0,2
10744,10744,2,2,5004061,1,18127,4,3,7,2,,34.87566,100k+,4+,2,3
